"pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","dropoff_datetime","pickup_datetime","passenger_count","trip_distance"
"-73.987798999999995","40.732438999999999","-73.942487","40.692413999999999","2014-01-06T00:03:30.000","2014-01-05T23:37:16.000","2","6.2999999999999998"
"-73.977485000000001","40.784410999999999","-73.989113000000003","40.774330999999997","2014-01-06T00:03:31.000","2014-01-05T23:58:26.000","1","1.1000000000000001"
"-73.870750000000001","40.773611000000002","-73.968147000000002","40.768234999999997","2014-01-06T00:03:32.000","2014-01-05T23:44:33.000","1","9.5"
"-73.994443000000004","40.726573999999999","-74.007436999999996","40.741042","2014-01-06T00:03:32.000","2014-01-05T23:56:16.000","1","1.7"
"-73.991529999999997","40.726936000000002","-73.976650000000006","40.735067000000001","2014-01-06T00:03:32.000","2014-01-05T23:58:06.000","1","1.3"
"-73.991327999999996","40.750019000000002","-73.981396000000004","40.775055000000002","2014-01-06T00:03:32.000","2014-01-05T23:54:35.000","1","2.2999999999999998"
"-73.981768000000002","40.757986000000002","-74.007435000000001","40.713918","2014-01-06T00:03:33.000","2014-01-05T23:52:01.000","1","3.7000000000000002"
"-73.966352999999998","40.714803000000003","-73.951930000000004","40.701453000000001","2014-01-06T00:03:33.000","2014-01-05T23:53:41.000","1","1.8"
"-73.968843000000007","40.754441","-73.982622000000006","40.723382000000001","2014-01-06T00:03:33.000","2014-01-05T23:53:51.000","1","2.6000000000000001"
"-73.986452","40.749074999999998","-73.978667000000002","40.752721999999999","2014-01-06T00:03:34.000","2014-01-06T00:00:59.000","1","0.59999999999999998"
"-73.968216999999996","40.796861999999997","-73.955506999999997","40.772643000000002","2014-01-06T00:03:34.000","2014-01-05T23:51:00.000","1","2.7999999999999998"
"-73.998205999999996","40.714194999999997","-73.985681999999997","40.768203999999997","2014-01-06T00:03:35.000","2014-01-05T23:48:49.000","2","4.5999999999999996"
"-73.989086999999998","40.691009000000001","-73.864816000000005","40.854064000000001","2014-01-06T00:03:36.000","2014-01-05T23:36:00.000","1","17"
"-74.000703999999999","40.729683000000001","-73.995824999999996","40.736049999999999","2014-01-06T00:03:37.000","2014-01-05T23:57:39.000","2","1"
"-73.976847000000006","40.755674999999997","-74.008013000000005","40.704442999999998","2014-01-06T00:03:38.000","2014-01-05T23:47:55.000","1","5.7000000000000002"
"-74.004448999999994","40.741734000000001","-73.983536999999998","40.757218000000002","2014-01-06T00:03:38.000","2014-01-05T23:56:14.000","2","2.2999999999999998"
"-73.975305000000006","40.755144999999999","-73.986559","40.762098999999999","2014-01-06T00:03:38.000","2014-01-05T23:59:06.000","1","0.80000000000000004"
"-73.994050000000001","40.751398000000002","-73.993996999999993","40.761564","2014-01-06T00:03:39.000","2014-01-06T00:00:02.000","1","0.90000000000000002"
"-73.969542000000004","40.797674999999998","-73.962755000000001","40.760736999999999","2014-01-06T00:03:41.000","2014-01-05T23:48:44.000","1","3.2999999999999998"
"-73.953795","40.764192999999999","-73.976918999999995","40.726855","2014-01-06T00:03:42.000","2014-01-05T23:55:09.000","1","3.1000000000000001"
"-73.985386000000005","40.727500999999997","-73.986082999999994","40.753784000000003","2014-01-06T00:03:42.000","2014-01-05T23:52:17.000","3","2.7999999999999998"
"-73.973875000000007","40.791086","-73.957588000000001","40.821615999999999","2014-01-06T00:03:44.000","2014-01-05T23:55:36.000","3","2.3999999999999999"
"-73.987446000000006","40.756252000000003","-73.974422000000004","40.736545999999997","2014-01-06T00:03:45.000","2014-01-05T23:53:50.000","1","2.1000000000000001"
"-73.992630000000005","40.725349000000001","-73.994170999999994","40.717590000000001","2014-01-06T00:03:45.000","2014-01-06T00:00:43.000","2","0.59999999999999998"
"-73.987699000000006","40.747312000000001","-73.996126000000004","40.753297000000003","2014-01-06T00:03:46.000","2014-01-05T23:59:17.000","1","0.69999999999999996"
"-73.986705999999998","40.747922000000003","-73.978511999999995","40.753554999999999","2014-01-06T00:03:46.000","2014-01-05T23:59:23.000","1","0.80000000000000004"
"-74.004624000000007","40.742308000000001","-74.007423000000003","40.741056","2014-01-06T00:03:46.000","2014-01-05T23:58:35.000","3","0.69999999999999996"
"-73.953316000000001","40.775852999999998","-73.985213999999999","40.747543","2014-01-06T00:03:46.000","2014-01-05T23:54:27.000","1","3"
"-73.992215999999999","40.684044999999998","-73.966074000000006","40.793168000000001","2014-01-06T00:03:47.000","2014-01-05T23:38:19.000","1","10.4"
"-73.785483999999997","40.649239999999999","-73.971575000000001","40.757038999999999","2014-01-06T00:03:48.000","2014-01-05T23:36:46.000","2","16.800000000000001"
"-73.962980000000002","40.777923000000001","-73.962956000000005","40.777917000000002","2014-01-06T00:03:49.000","2014-01-05T23:56:34.000","2","1.2"
"-73.974057000000002","40.756985","-73.989725000000007","40.735565000000001","2014-01-06T00:03:49.000","2014-01-05T23:57:41.000","1","1.7"
"-73.988043000000005","40.743521999999999","-74.006062","40.739868000000001","2014-01-06T00:03:49.000","2014-01-05T23:52:11.000","2","2.2000000000000002"
"-73.91592","40.764344000000001","-73.794675999999995","40.714056999999997","2014-01-06T00:03:50.000","2014-01-05T23:48:20.000","1","10"
"-73.988949000000005","40.758656000000002","-73.988354999999999","40.769294000000002","2014-01-06T00:03:52.000","2014-01-06T00:00:24.000","1","0.90000000000000002"
"-73.994043000000005","40.736297","-73.950277999999997","40.823855000000002","2014-01-06T00:03:53.000","2014-01-05T23:40:59.000","1","7.7999999999999998"
"-73.911618000000004","40.776803000000001","-73.918306999999999","40.782516999999999","2014-01-06T00:03:53.000","2014-01-06T00:01:25.000","1","0.5"
"-73.994048000000006","40.751305000000002","-73.966470000000001","40.755685999999997","2014-01-06T00:03:54.000","2014-01-05T23:51:16.000","1","2.1000000000000001"
"-73.989845000000003","40.725714000000004","-73.965873999999999","40.710546999999998","2014-01-06T00:03:55.000","2014-01-05T23:56:27.000","1","2.3999999999999999"
"-73.990449999999996","40.755420000000001","-73.975407000000004","40.763832999999998","2014-01-06T00:03:56.000","2014-01-05T23:58:07.000","1","1.2"
"-73.939964000000003","40.708544000000003","-73.940509000000006","40.724384000000001","2014-01-06T00:03:57.000","2014-01-05T23:57:17.000","1","1.3999999999999999"
"-73.982067999999998","40.804662","-73.999382999999995","40.792152999999999","2014-01-06T00:03:58.000","2014-01-06T00:00:06.000","3","1.3"
"-73.961341000000004","40.771785000000001","-73.978650000000002","40.762503000000002","2014-01-06T00:03:59.000","2014-01-05T23:56:07.000","1","1.5"
"-73.972442000000001","40.758446999999997","-73.969426999999996","40.753884999999997","2014-01-06T00:04:00.000","2014-01-06T00:01:00.000","1","0.66000000000000003"
"-73.982011999999997","40.771622000000001","-73.969475000000003","40.788716999999998","2014-01-06T00:04:00.000","2014-01-05T23:57:00.000","1","1.6399999999999999"
"-73.965073000000004","40.763407000000001","-73.956343000000004","40.774735","2014-01-06T00:04:00.000","2014-01-06T00:01:00.000","1","0.93999999999999995"
"-73.993191999999993","40.727812","-73.986037999999994","40.755845000000001","2014-01-06T00:04:00.000","2014-01-05T23:55:00.000","6","2.4100000000000001"
"-73.988977000000006","40.745072","-73.982551999999998","40.750027000000003","2014-01-06T00:04:00.000","2014-01-06T00:00:00.000","2","0.85999999999999999"
"-73.982292999999999","40.666001999999999","-73.979641999999998","40.676127000000001","2014-01-06T00:04:00.000","2014-01-05T23:59:00.000","1","0.94999999999999996"
"-73.994657000000004","40.750346999999998","-73.952723000000006","40.787506999999998","2014-01-06T00:04:00.000","2014-01-05T23:51:00.000","5","4.1500000000000004"
